transaction_id,customer_id,transaction_date,source_system,order_or_invoice_id,gross_amount,fee_amount,net_amount,payment_status,transaction_type,category,payout_status
500001,1005,2025-07-25,PayPal,937388,9453.69,846.11,8607.58,refunded,refund,wholesale,pending
500002,1027,2025-03-21,PayPal,941104,305.1,8.09,297.01,paid,sale,product,paid_out
500003,1015,2025-01-30,PayPal,930828,4823.51,108.05,4715.46,paid,sale,product,paid_out
500004,1011,2025-10-24,Shopify,934179,3175.34,122.57,3052.77,paid,sale,service,paid_out
500005,1003,2025-07-22,Stripe,901220,3551.22,139.92,3411.3,refunded,refund,subscription,held
500006,1003,2025-10-03,PayPal,948434,4918.39,137.71,4780.68,pending,sale,service,pending
500007,1001,2025-11-10,QuickBooks,986951,16596.55,733.57,15862.98,paid,sale,subscription,paid_out
500008,1022,2025-02-24,NetSuite,990111,1120.06,27.67,1092.39,paid,sale,service,paid_out
500009,1011,2025-01-27,NetSuite,983507,915.34,29.93,885.41,paid,sale,wholesale,paid_out
500010,1014,2025-10-15,Shopify,948393,543.51,12.12,531.39,refunded,refund,subscription,paid_out
500011,1001,2025-06-07,PayPal,989399,5339.58,256.3,5083.28,paid,sale,wholesale,paid_out
500012,1029,2025-11-14,QuickBooks,923206,1582.67,75.65,1530.68,paid,sale,wholesale,pending
500013,1020,2025-12-09,NetSuite,905075,1819.29,80.59,1738.7,paid,sale,service,paid_out
500014,1003,2025-06-06,QuickBooks,936517,8827.1,406.93,8420.17,paid,sale,service,paid_out
500015,1003,2025-11-25,QuickBooks,934237,10618.51,428.99,10189.52,paid,sale,subscription,paid_out
500016,1003,2025-02-25,QuickBooks,915157,8369.14,254.42,8114.72,paid,sale,subscription,partial
500017,1004,2025-12-29,Stripe,996605,9694.32,345.12,9349.2,paid,sale,service,held
500018,1009,2025-11-16,PayPal,953528,2677.67,121.57,2556.1,paid,sale,product,paid_out
500019,1007,2025-04-09,QuickBooks,939446,2392.01,115.29,2276.72,refunded,refund,service,paid_out
500020,1004,2025-04-18,Shopify,928010,6868.99,256.9,6612.09,paid,sale,subscription,paid_out
500021,1011,2025-05-26,Shopify,988184,2819.53,109.96,2709.57,paid,sale,subscription,paid_out
500022,1002,2025-01-24,NetSuite,982544,5203.58,178.48,5025.1,paid,sale,wholesale,paid_out
500023,1004,2025-07-24,PayPal,955724,4416.48,474.77,3941.71,paid,sale,wholesale,paid_out
500024,1005,2025-01-26,NetSuite,969616,8016.65,380.79,7635.86,paid,sale,wholesale,paid_out
500025,1007,2025-10-08,NetSuite,983579,2506.61,62.16,2444.45,paid,sale,product,paid_out
500026,1017,2025-05-21,Shopify,910561,673.81,27.9,645.91,paid,sale,product,held
500027,1003,2025-02-02,Stripe,951049,6733.81,201.34,6532.47,paid,sale,wholesale,pending
500028,1009,2025-09-02,PayPal,954921,526.53,16.11,510.42,pending,sale,product,partial
500029,1011,2025-09-07,PayPal,921632,1487.4,129.11,1358.29,paid,sale,subscription,paid_out
500030,1001,2025-07-21,Shopify,923819,7077.98,282.41,6795.57,paid,sale,wholesale,pending
500031,1011,2025-06-17,Stripe,910735,1715.94,79.62,1636.32,refunded,refund,service,paid_out
500032,1003,2025-04-25,Shopify,926130,8851.3,384.15,8467.15,paid,sale,product,held
500033,1001,2025-08-31,Stripe,921992,9025.13,333.03,8692.1,paid,sale,product,paid_out
500034,1027,2025-06-09,PayPal,951990,156.78,3.26,153.52,paid,sale,product,partial
