customer_id,business_name,industry,segment,start_date,region,status,monthly_volume_band,risk_level
1001,Vertex Systems,Retail,Enterprise,2022-10-13,West,active,$500k-$1M,low
1002,BluePeak Systems,Retail,Enterprise,2024-10-31,International,active,$1M+,low
1003,Atlas Media,Retail,Enterprise,2024-07-08,International,active,$500k-$1M,medium
1004,Velocity Media,Logistics,Enterprise,2023-07-24,Midwest,active,$500k-$1M,medium
1005,Pioneer Commerce,Logistics,Enterprise,2023-12-06,International,active,$1M+,low
1006,Atlas Commerce,Hospitality,Mid-Market,2022-06-11,International,active,$100k-$250k,medium
1007,BluePeak Solutions,Retail,Mid-Market,2023-08-16,West,active,$250k-$500k,medium
1008,PrimeWave Logistics,SaaS,Mid-Market,2024-01-29,South,active,$100k-$250k,low
1009,BluePeak Labs,SaaS,Mid-Market,2024-12-29,Midwest,active,$250k-$500k,medium
1010,Atlas Systems,Logistics,Mid-Market,2022-04-25,Midwest,active,$250k-$500k,low
1011,BluePeak Systems,Media,Mid-Market,2023-10-07,Midwest,paused,$250k-$500k,medium
1012,PrimeWave Group,Manufacturing,Mid-Market,2022-10-13,Midwest,active,$250k-$500k,high
1013,Pioneer Logistics,Retail,Mid-Market,2022-10-11,International,paused,$250k-$500k,high
1014,BluePeak Group,SaaS,Mid-Market,2024-05-14,International,active,$100k-$250k,medium
1015,PrimeWave Retail,Manufacturing,Mid-Market,2025-02-07,West,active,$250k-$500k,low
1016,Brightline Commerce,Manufacturing,SMB,2024-06-09,Midwest,paused,$25k-$100k,high
1017,Vertex Retail,SaaS,SMB,2024-11-05,West,active,<$25k,high
1018,Velocity Retail,Education,SMB,2022-01-02,International,active,<$25k,low
1019,Brightline Partners,Retail,SMB,2022-04-29,Midwest,active,$25k-$100k,low
1020,BluePeak Retail,SaaS,SMB,2022-09-20,Northeast,active,<$25k,medium
1021,ClearPath Media,Retail,SMB,2025-01-09,Midwest,active,$25k-$100k,medium
1022,Brightline Health,Education,SMB,2024-07-13,West,active,$25k-$100k,high
1023,Northstar Labs,Education,SMB,2023-04-17,International,active,<$25k,low
1024,Northstar Systems,Healthcare,SMB,2022-03-06,South,active,<$25k,low
1025,PrimeWave Systems,Education,SMB,2022-09-28,International,paused,<$25k,low
1026,Pioneer Systems,Healthcare,SMB,2022-07-18,Northeast,active,<$25k,high
1027,Northstar Commerce,Ecommerce,SMB,2024-04-04,South,active,$25k-$100k,medium
1028,Atlas Health,SaaS,SMB,2024-05-14,Midwest,active,<$25k,low
1029,BluePeak Health,Education,SMB,2022-07-20,West,active,$25k-$100k,low
1030,Summit Group,Hospitality,SMB,2024-09-21,Northeast,active,<$25k,high
