exception_id,customer_id,transaction_id,detected_date,exception_type,severity,status,owner,days_open,resolution_notes
700001,1015,501179,2026-01-08,refund_dispute,low,open,Finance,3,Refund timing dispute pending customer review.
700002,1010,500866,2025-11-19,fee_mismatch,medium,open,Ops Team,25,Fee variance exceeded reconciliation threshold.
700003,1012,500102,2025-03-02,duplicate_charge,medium,in_review,Customer Support,40,Potential duplicate transaction detected.
700004,1002,500440,2026-01-02,late_review,medium,resolved,Finance,0,Manual review backlog exceeded SLA.
700005,1001,500059,2025-10-11,duplicate_charge,medium,closed,Finance,11,Potential duplicate transaction detected.
700006,1023,501121,2025-11-12,fee_mismatch,medium,resolved,Ops Team,4,Fee variance exceeded reconciliation threshold.
700007,1004,500324,2025-12-18,duplicate_charge,low,resolved,Finance,2,Potential duplicate transaction detected.
700008,1001,500975,2025-01-26,late_review,low,resolved,Customer Support,5,Manual review backlog exceeded SLA.
700009,1027,500412,2025-04-16,invoice_missing,low,open,Finance,16,Invoice reference missing from ERP sync.
700010,1003,500856,2025-01-18,missing_payout,medium,open,Customer Support,21,Awaiting payout confirmation from processor.
700011,1018,500821,2025-12-20,invoice_missing,medium,resolved,Risk,0,Invoice reference missing from ERP sync.
700012,1004,500045,2025-01-11,missing_payout,low,resolved,Ops Team,2,Awaiting payout confirmation from processor.
700013,1003,500050,2025-03-10,refund_dispute,low,resolved,Finance,13,Refund timing dispute pending customer review.
700014,1011,500850,2025-03-08,invoice_missing,low,closed,Customer Support,0,Invoice reference missing from ERP sync.
700015,1027,500241,2025-07-09,refund_dispute,medium,closed,Customer Support,10,Refund timing dispute pending customer review.
700016,1013,500171,2025-10-06,fee_mismatch,medium,resolved,Risk,11,Fee variance exceeded reconciliation threshold.
700017,1020,500524,2025-06-11,refund_dispute,high,closed,Finance,10,Refund timing dispute pending customer review.
700018,1010,500766,2025-04-02,duplicate_charge,low,resolved,Finance,14,Potential duplicate transaction detected.
700019,1011,500839,2025-03-24,duplicate_charge,medium,closed,Ops Team,6,Potential duplicate transaction detected.
700020,1008,500424,2025-09-27,fee_mismatch,medium,resolved,Automation Queue,4,Fee variance exceeded reconciliation threshold.
700021,1002,500381,2025-03-22,fee_mismatch,low,closed,Customer Support,6,Fee variance exceeded reconciliation threshold.
700022,1013,500610,2025-10-15,refund_dispute,medium,resolved,Customer Support,6,Refund timing dispute pending customer review.
700023,1002,500677,2026-01-05,duplicate_charge,low,resolved,Automation Queue,5,Potential duplicate transaction detected.
700024,1006,500345,2025-10-10,late_review,medium,in_review,Automation Queue,14,Manual review backlog exceeded SLA.
700025,1002,500110,2025-10-21,invoice_missing,medium,resolved,Risk,7,Invoice reference missing from ERP sync.
700026,1012,500278,2025-02-09,refund_dispute,medium,in_review,Customer Support,10,Refund timing dispute pending customer review.
700027,1006,500678,2025-10-26,invoice_missing,low,resolved,Finance,13,Invoice reference missing from ERP sync.
