customer_id,business_name,risk_level,monthly_volume_band,exception_count
1001,Vertex Systems,low,$500k-$1M,9.0
1002,BluePeak Systems,low,$1M+,7.0
1003,Atlas Media,medium,$500k-$1M,4.0
1004,Velocity Media,medium,$500k-$1M,6.0
1005,Pioneer Commerce,low,$1M+,5.0
1006,Atlas Commerce,medium,$100k-$250k,3.0
1007,BluePeak Solutions,medium,$250k-$500k,2.0
1008,PrimeWave Logistics,low,$100k-$250k,1.0
1009,BluePeak Labs,medium,$250k-$500k,4.0
1010,Atlas Systems,low,$250k-$500k,5.0
1011,BluePeak Systems,medium,$250k-$500k,7.0
1012,PrimeWave Group,high,$250k-$500k,7.0
1013,Pioneer Logistics,high,$250k-$500k,3.0
1014,BluePeak Group,medium,$100k-$250k,4.0
1015,PrimeWave Retail,low,$250k-$500k,4.0
1016,Brightline Commerce,high,$25k-$100k,3.0
1017,Vertex Retail,high,<$25k,1.0
1018,Velocity Retail,low,<$25k,2.0
1019,Brightline Partners,low,$25k-$100k,1.0
1020,BluePeak Retail,medium,<$25k,1.0
1021,ClearPath Media,medium,$25k-$100k,0.0
1022,Brightline Health,high,$25k-$100k,0.0
1023,Northstar Labs,low,<$25k,2.0
1024,Northstar Systems,low,<$25k,1.0
1025,PrimeWave Systems,low,<$25k,3.0
1026,Pioneer Systems,high,<$25k,1.0
1027,Northstar Commerce,medium,$25k-$100k,3.0
1028,Atlas Health,low,<$25k,0.0
1029,BluePeak Health,low,$25k-$100k,0.0
1030,Summit Group,high,<$25k,1.0
